word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
absolute,789.49,1,72,0,8,3,2.9,30,755,3499,12054,747,8331,577,16840,2182,266286,1292,527,363,6918237,2217004,4.46,4.61,4.54,4.36,4.52,4.62,4.05,4.58,4.53,4.32,4.53,4.23,4.01,4.65,4.81,4.94
accrue,879.79,0.403,29,43,6,2,2.65,0,28,200,625,36,56,4,611,48,4591,18,6,24,315087,96599,2.97,3.19,3.3,3.08,3.22,2.45,1.99,3.14,2.77,2.67,2.69,2.35,2.85,3.31,3.45,2.06
acid,792.83,0.889,64,8,4,2,1.7,13,385,4968,10139,2138,2075,508,13610,1137,99465,598,195,344,16830337,4681785,4.12,4.32,4.69,4.29,4.98,4.01,4,4.49,4.11,4.03,4.19,3.8,3.99,5.04,5.14,3.49
admiral,997,0.389,28,44,7,3,2.5,0,86,705,4126,68,748,845,4919,270,27634,109,57,104,576438,342515,2.97,3.67,3.84,3.9,3.49,3.57,4.22,4.05,3.55,3.41,3.46,3.27,3.47,3.57,4,2.63
affair,715.1,0.931,67,5,6,2,2.55,33,699,3304,12302,682,3986,1502,5294,1802,71790,812,228,762,3246289,1193256,4.5,4.57,4.51,4.37,4.48,4.3,4.47,4.08,3.96,4.23,4.33,3.86,4.33,4.32,4.55,4.6
again,608.52,1,72,0,5,2,1.95,578,13783,56231,270583,8244,138518,40428,249680,60208,2959441,26395,22720,11093,51394224,17505833,5.74,5.87,5.75,5.71,5.57,5.84,5.9,5.75,5.58,5.76,5.84,5.86,5.49,5.52,5.71,6.2
against,683.7,0.972,70,2,7,2,2.9,626,10509,56208,263616,9487,67722,10288,172615,40705,3703134,12193,5171,23341,65531128,23087219,5.77,5.75,5.75,5.7,5.63,5.53,5.3,5.59,5.68,5.59,5.5,5.22,5.82,5.63,5.83,6.11
agreed,689.81,0.889,64,8,6,2,2.1,81,1760,14692,39516,1468,11884,1832,21890,8380,336229,1751,2702,3927,8199995,2811185,4.89,4.98,5.16,4.88,4.82,4.77,4.55,4.7,4.64,4.9,4.66,4.94,5.04,4.72,4.92,5.43
allowed,670.36,1,72,0,7,2,1.85,86,2370,14345,52767,2244,19422,2286,44517,10280,591638,3630,1297,5353,12628796,4705732,4.91,5.1,5.15,5,5,4.98,4.65,5,4.88,4.99,4.97,4.62,5.18,4.91,5.14,4.97
amazement,894.27,0.903,65,7,9,3,3.05,10,179,505,2061,44,250,36,1163,174,8694,120,18,36,686034,217854,4.01,3.98,3.7,3.6,3.3,3.1,2.86,3.42,3.05,3.22,3.5,2.78,3.02,3.65,3.81,4.14
American,701.35,1,72,0,8,4,2.5,569,4392,16372,278415,10314,22027,5213,119723,25309,2407751,7894,4770,12645,62336597,7337753,5.73,5.37,5.21,5.73,5.66,5.04,5.01,5.43,5.49,5.38,5.31,5.18,5.55,5.6,5.33,6.31
analysis,787.34,0.986,71,1,8,4,2.7,108,1101,13240,65367,8458,2844,563,47575,3571,1257398,1245,641,1685,18993743,4912078,5.01,4.77,5.12,5.1,5.58,4.15,4.04,5.03,5.21,4.53,4.51,4.31,4.68,5.09,5.16,4.66
anchor,892.5,0.639,46,26,6,2,2.35,15,113,601,11897,178,949,378,2766,1138,34940,320,249,569,1296245,474584,4.18,3.79,3.78,4.36,3.9,3.67,3.87,3.8,3.65,4.04,3.92,3.9,4.21,3.92,4.14,2.46
angriest,1154.8,0.639,46,26,8,3,3,1,4,4,152,5,29,8,42,17,553,6,4,7,8818,2096,3.27,2.43,1.69,2.47,2.43,2.17,2.25,1.99,1.85,2.23,2.26,2.2,2.35,1.76,1.79,2.43
announces,923.49,0.944,68,4,9,3,2.85,3,56,322,2616,106,375,58,3448,739,30474,136,438,165,452522,123350,3.57,3.49,3.5,3.7,3.68,3.27,3.06,3.89,3.59,3.85,3.55,4.15,3.67,3.47,3.56,4.71
another,654.08,0.986,71,1,7,3,2.55,683,12551,58188,330923,12281,124464,25970,286263,67077,3182276,27962,16893,22222,62281509,19552536,5.81,5.83,5.76,5.8,5.74,5.79,5.71,5.81,5.61,5.81,5.86,5.73,5.8,5.6,5.76,6.09
arisen,945.65,0.889,64,8,6,3,2,4,107,718,1227,78,262,11,880,93,8650,49,9,35,1052259,498627,3.67,3.76,3.85,3.37,3.55,3.12,2.37,3.3,3.05,2.95,3.11,2.5,3.01,3.83,4.17,3.23
ashes,838.35,0.722,52,20,5,2,1.65,6,180,538,3511,98,1365,503,4878,566,23921,291,124,151,1350709,492650,3.82,3.99,3.73,3.83,3.65,3.83,3.99,4.04,3.49,3.73,3.88,3.6,3.63,3.94,4.16,3.23
assign,828.12,0.833,60,12,6,2,2.35,18,44,381,2418,192,77,138,6449,280,55191,132,53,95,1289536,337304,4.25,3.38,3.58,3.67,3.94,2.59,3.43,4.17,3.85,3.43,3.54,3.24,3.43,3.92,4,3.77
atmosphere,849.97,0.986,71,1,10,3,4.15,79,950,4849,18813,632,7346,493,10109,2397,119336,1019,322,1056,5243626,1620270,4.88,4.71,4.68,4.56,4.45,4.56,3.99,4.36,4.19,4.36,4.42,4.01,4.47,4.53,4.68,4.8
attempt,701.27,1,72,0,7,2,2.8,95,1813,11432,33421,1414,8037,975,41637,5894,817426,2828,712,2354,13366461,4551415,4.96,4.99,5.05,4.81,4.8,4.6,4.28,4.98,5.02,4.75,4.87,4.36,4.82,4.94,5.13,5.17
autonomous,1125.89,0.722,52,20,10,4,4.45,0,153,1112,3346,361,166,11,2059,149,42284,75,12,62,951331,302281,2.97,3.92,4.04,3.81,4.21,2.92,2.37,3.67,3.74,3.15,3.3,2.62,3.25,3.79,3.95,3.86
available,772.9,0.972,70,2,9,4,3.15,245,2468,27184,85404,4711,13484,1323,326758,17661,1701831,6269,4070,7322,21269631,4865567,5.36,5.12,5.43,5.21,5.32,4.83,4.41,5.87,5.34,5.23,5.21,5.11,5.31,5.14,5.16,5.51
avoid,658.51,0.972,70,2,5,2,2,58,1348,7973,40049,1619,8837,1239,45327,6938,597627,2623,1422,2893,9275076,2577071,4.74,4.86,4.9,4.88,4.86,4.64,4.39,5.01,4.89,4.82,4.83,4.66,4.91,4.78,4.88,5.2
away,662.77,0.972,70,2,4,2,1.85,456,12155,38747,259070,7012,139294,37276,150815,46881,1781826,20704,13621,12556,42921087,13365895,5.63,5.81,5.58,5.7,5.5,5.84,5.86,5.53,5.36,5.65,5.73,5.64,5.55,5.44,5.59,6.51
awkward,750,0.972,70,2,7,2,2.85,11,356,1577,7008,250,3128,730,2521,4533,25513,872,3297,364,1111336,369711,4.05,4.28,4.19,4.13,4.05,4.19,4.16,3.76,3.52,4.64,4.36,5.02,4.01,3.86,4.04,4.89
babies,734.68,0.986,71,1,6,2,1.9,12,1339,2449,16562,521,6166,1704,8483,3923,135638,1956,1233,734,1700563,360150,4.09,4.86,4.38,4.5,4.37,4.49,4.52,4.28,4.24,4.57,4.71,4.6,4.32,4.04,4.02,4.97
balconies,1145.7,0.597,43,29,9,3,3.6,2,41,187,854,70,107,23,88,104,2016,37,11,56,191309,63914,3.45,3.35,3.27,3.21,3.5,2.73,2.67,2.31,2.41,3,2.99,2.58,3.21,3.09,3.27,3.49
